path,source,url,date,title,subtitle,author,rubrics,tags,genre
chrdk.ru/articles/sci_dubna_nica_lhc.txt,https://chrdk.ru/,https://chrdk.ru/sci/dubna_nica_lhc,29.09.2015,От синхрофазотрона к NICA,В Дубне строят коллайдер тяжелых ионов и активизируют сотрудничество с БРИКС,Александра Борисова,,Физика_Интервью_Российская наука_Большой адронный коллайдер_ОИЯИ,Статьи
chrdk.ru/articles/sci_editing_controversy.txt,https://chrdk.ru/,https://chrdk.ru/sci/editing_controversy,11.09.2017,Семь раз отмерь,Что может быть не так с отредактированными зародышами человека,Полина Лосева,,Генетика_Молекулярная биология,Статьи
chrdk.ru/articles/sci_editing_the_biosphere.txt,https://chrdk.ru/,https://chrdk.ru/sci/editing_the_biosphere,22.09.2017,Как отредактировать биосферу,Что такое генный драйв и как он работает,Дмитрий Лебедев,,Молекулярная биология,Статьи
chrdk.ru/articles/sci_eksperiment_po_izucheniju_nejtrinnyh_ostsilliatsij_dal_pervye_rezultaty.txt,https://chrdk.ru/,https://chrdk.ru/sci/eksperiment_po_izucheniju_nejtrinnyh_ostsilliatsij_dal_pervye_rezultaty,21.08.2015,Выход в новую физику,Ученые рассказали «Чердаку» об охоте за самой загадочной частицей Вселенной,Ирина Якутенко,,Физика_Интервью,Статьи
chrdk.ru/articles/sci_europa_plumes.txt,https://chrdk.ru/,https://chrdk.ru/sci/europa_plumes,28.09.2016,Европейские фонтаны,«Хаббл» подтвердил существование водяных гейзеров на спутнике Юпитера Европе,Екатерина Боровикова,,Астрономия_Космос_Интервью_Футурология_Репортаж_Видео,Статьи
chrdk.ru/articles/sci_exoplanets25.txt,https://chrdk.ru/,https://chrdk.ru/sci/exoplanets25,20.04.2017,Элегия к далеким мирам,"Экзопланеты были открыты четверть века назад, а инопланетян все не видно",Екатерина Боровикова,,Космос,Статьи
chrdk.ru/articles/sci_fantasticheskaya-nauka.txt,https://chrdk.ru/,https://chrdk.ru/sci/fantasticheskaya-nauka,08.11.2017,Фантастическая наука,Студенческие исследования на актуальные темы современности,Екатерина Боровикова,,Физика_Астрономия_Материаловедение,Статьи
chrdk.ru/articles/sci_fast_radio_bursts.txt,https://chrdk.ru/,https://chrdk.ru/sci/fast_radio_bursts,09.11.2017,Астрономы нашли источник мощных космических радиосигналов,"Но почему они происходят, до сих пор непонятно",Екатерина Боровикова,,Физика_Астрономия_Космос_Российская наука_Репортаж,Статьи
chrdk.ru/articles/sci_fgc_evolutionary_benefits.txt,https://chrdk.ru/,https://chrdk.ru/sci/fgc_evolutionary_benefits,14.11.2017,Здесь так принято,"Антропологи разобрались, почему трудно искоренить женское обрезание",Ольга Добровидова,,Репортаж_Антропология,Статьи
chrdk.ru/articles/sci_fiziki_nauchilis_upravlyat_dvizheniem_otdelnyh_elektronov_v_molekule.txt,https://chrdk.ru/,https://chrdk.ru/sci/fiziki_nauchilis_upravlyat_dvizheniem_otdelnyh_elektronov_v_molekule,22.10.2015,Повелители электронов,Физики научились управлять движением отдельных электронов в молекуле,Екатерина Боровикова,,Физика_Российская наука_Профессии будущего,Статьи
